date, sle_roaming_v2_impact_dist_by_site_c|aws|eu|flink-lag
2021-07-29 14:04:00,1455.7721098180555
2021-07-29 14:04:30,2398.4155229815565
2021-07-29 14:05:00,3295.710895837517
2021-07-29 14:05:30,350.19568167639335
2021-07-29 14:06:00,1220.1514691329808
2021-07-29 14:06:30,2145.322562710289
2021-07-29 14:07:00,3052.987640900322
2021-07-29 14:07:30,163.28738629407496
2021-07-29 14:08:00,1123.1751744440169
2021-07-29 14:08:30,2064.1669495675087
2021-07-29 14:09:00,2966.221291342899
2021-07-29 14:09:30,3791.796291967803
2021-07-29 14:10:00,758.2966205757767
2021-07-29 14:10:30,1607.1469250934942
2021-07-29 14:11:00,2394.7796772117654
2021-07-29 14:11:30,3248.451746859791
2021-07-29 14:12:00,552.7070234769384
2021-07-29 14:12:30,1813.1023590302727
2021-07-29 14:13:00,3092.88804621635
