date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-03 09:21:00,9
2021-07-03 09:22:00,16
2021-07-03 09:23:00,18
2021-07-03 09:24:00,18
2021-07-03 09:25:00,14
2021-07-03 09:26:00,11
2021-07-03 09:27:00,16
2021-07-03 09:28:00,14
2021-07-03 09:29:00,7
2021-07-03 09:30:00,16
2021-07-03 09:31:00,6
2021-07-03 09:32:00,10
2021-07-03 09:33:00,8
2021-07-03 09:34:00,9
2021-07-03 09:35:00,15
2021-07-03 09:36:00,11
2021-07-03 09:37:00,11
2021-07-03 09:38:00,24
2021-07-03 09:39:00,11
2021-07-03 09:40:00,17
2021-07-03 09:41:00,17
2021-07-03 09:42:00,10
2021-07-03 09:43:00,17
2021-07-03 09:44:00,32
2021-07-03 09:45:00,13
2021-07-03 09:46:00,21
2021-07-03 09:47:00,8
2021-07-03 09:48:00,5
2021-07-03 09:49:00,17
2021-07-03 09:50:00,12
2021-07-03 09:51:00,26
2021-07-03 09:52:00,24
2021-07-03 09:53:00,25
2021-07-03 09:54:00,39
2021-07-03 09:55:00,22
2021-07-03 09:56:00,19
2021-07-03 09:57:00,26
2021-07-03 09:58:00,19
2021-07-03 09:59:00,31
2021-07-03 10:00:00,15
2021-07-03 10:01:00,23
2021-07-03 10:02:00,25
2021-07-03 10:03:00,25
2021-07-03 10:04:00,46
2021-07-03 10:05:00,26
2021-07-03 10:06:00,24
2021-07-03 10:07:00,26
2021-07-03 10:08:00,25
2021-07-03 10:09:00,26
2021-07-03 10:10:00,21
2021-07-03 10:11:00,17
2021-07-03 10:12:00,23
2021-07-03 10:13:00,20
2021-07-03 10:14:00,18
2021-07-03 10:15:00,25
2021-07-03 10:16:00,30
2021-07-03 10:17:00,28
2021-07-03 10:18:00,37
2021-07-03 10:19:00,16
2021-07-03 10:20:00,26
2021-07-03 10:21:00,30
2021-07-03 10:22:00,19
2021-07-03 10:23:00,40
2021-07-03 10:24:00,38
2021-07-03 10:25:00,17
2021-07-03 10:26:00,31
2021-07-03 10:27:00,30
2021-07-03 10:28:00,17
2021-07-03 10:29:00,25
2021-07-03 10:30:00,28
2021-07-03 10:31:00,27
2021-07-03 10:32:00,24
2021-07-03 10:33:00,24
2021-07-03 10:34:00,25
2021-07-03 10:35:00,48
2021-07-03 10:36:00,21
2021-07-03 10:37:00,32
2021-07-03 10:38:00,28
2021-07-03 10:39:00,35
2021-07-03 10:40:00,35
2021-07-03 10:41:00,24
2021-07-03 10:42:00,27
2021-07-03 10:43:00,32
2021-07-03 10:44:00,37
2021-07-03 10:45:00,46
2021-07-03 10:46:00,39
2021-07-03 10:47:00,35
2021-07-03 10:48:00,44
2021-07-03 10:49:00,58
2021-07-03 10:50:00,54
2021-07-03 10:51:00,50
2021-07-03 10:52:00,36
2021-07-03 10:53:00,60
2021-07-03 10:54:00,41
2021-07-03 10:55:00,63
2021-07-03 10:56:00,68
2021-07-03 10:57:00,51
2021-07-03 10:58:00,58
2021-07-03 10:59:00,43
2021-07-03 11:00:00,65
2021-07-03 11:01:00,64
2021-07-03 11:02:00,71
2021-07-03 11:03:00,61
2021-07-03 11:04:00,97
2021-07-03 11:05:00,80
2021-07-03 11:06:00,79
2021-07-03 11:07:00,69
2021-07-03 11:08:00,69
2021-07-03 11:09:00,66
2021-07-03 11:10:00,73
2021-07-03 11:11:00,61
2021-07-03 11:12:00,83
2021-07-03 11:13:00,78
2021-07-03 11:14:00,76
2021-07-03 11:15:00,68
2021-07-03 11:16:00,88
2021-07-03 11:17:00,91
2021-07-03 11:18:00,62
2021-07-03 11:19:00,62
2021-07-03 11:20:00,80
2021-07-03 11:21:00,78
2021-07-03 11:22:00,93
2021-07-03 11:23:00,75
2021-07-03 11:24:00,78
2021-07-03 11:25:00,112
2021-07-03 11:26:00,95
2021-07-03 11:27:00,66
2021-07-03 11:28:00,93
2021-07-03 11:29:00,81
2021-07-03 11:30:00,82
2021-07-03 11:31:00,70
2021-07-03 11:32:00,108
2021-07-03 11:33:00,86
2021-07-03 11:34:00,115
2021-07-03 11:35:00,81
2021-07-03 11:36:00,61
2021-07-03 11:37:00,77
2021-07-03 11:38:00,105
2021-07-03 11:39:00,103
2021-07-03 11:40:00,81
2021-07-03 11:41:00,110
2021-07-03 11:42:00,91
2021-07-03 11:43:00,88
2021-07-03 11:44:00,139
2021-07-03 11:45:00,86
2021-07-03 11:46:00,112
2021-07-03 11:47:00,94
2021-07-03 11:48:00,90
2021-07-03 11:49:00,102
2021-07-03 11:50:00,136
2021-07-03 11:51:00,129
2021-07-03 11:52:00,124
2021-07-03 11:53:00,99
2021-07-03 11:54:00,127
2021-07-03 11:55:00,110
2021-07-03 11:56:00,132
2021-07-03 11:57:00,171
2021-07-03 11:58:00,105
2021-07-03 11:59:00,146
2021-07-03 12:00:00,145
2021-07-03 12:01:00,149
2021-07-03 12:02:00,168
2021-07-03 12:03:00,192
2021-07-03 12:04:00,164
2021-07-03 12:05:00,142
2021-07-03 12:06:00,161
2021-07-03 12:07:00,100
