date,terminator|aws|production
2021-05-08 04:25:00,247534.0
2021-05-08 04:35:00,247552.0
2021-05-08 04:45:00,247503.0
2021-05-08 04:55:00,247528.0
2021-05-08 05:05:00,247556.0
2021-05-08 05:15:00,247525.0
2021-05-08 05:25:00,247530.0
2021-05-08 05:35:00,247555.0
2021-05-08 05:45:00,247483.0
2021-05-08 05:55:00,247440.0
2021-05-08 06:05:00,247442.0
2021-05-08 06:15:00,247427.0
2021-05-08 06:25:00,247315.0
2021-05-08 06:35:00,247329.0
2021-05-08 06:45:00,247337.0
2021-05-08 06:55:00,247294.0
2021-05-08 07:05:00,247316.0
2021-05-08 07:15:00,247349.0
2021-05-08 07:25:00,247357.0
2021-05-08 07:35:00,247457.0
2021-05-08 07:45:00,247438.0
2021-05-08 07:55:00,247374.0
2021-05-08 08:05:00,247411.0
2021-05-08 08:15:00,247419.0
2021-05-08 08:25:00,246664.0
2021-05-08 08:35:00,246734.0
2021-05-08 08:45:00,246901.0
2021-05-08 08:55:00,246779.0
2021-05-08 09:05:00,246746.0
2021-05-08 09:15:00,246762.0
2021-05-08 09:25:00,246768.0
2021-05-08 09:35:00,246738.0
2021-05-08 09:45:00,246705.0
2021-05-08 10:05:00,246749.0
2021-05-08 10:15:00,246768.0
2021-05-08 10:25:00,246254.0
2021-05-08 10:35:00,246209.0
2021-05-08 10:45:00,246224.0
2021-05-08 10:55:00,246234.0
2021-05-08 11:05:00,246270.0
2021-05-08 11:15:00,246245.0
2021-05-08 11:25:00,246212.0
2021-05-08 11:35:00,246197.0
2021-05-08 11:45:00,246177.0
2021-05-08 11:55:00,246187.0
2021-05-08 12:05:00,246167.0
2021-05-08 12:15:00,246181.0
2021-05-08 12:25:00,247120.0
2021-05-08 12:35:00,247357.0
2021-05-08 12:45:00,247338.0
2021-05-08 12:55:00,247374.0
2021-05-08 13:05:00,247381.0
2021-05-08 13:15:00,247295.0
2021-05-08 13:25:00,247313.0
2021-05-08 13:35:00,247239.0
2021-05-08 13:45:00,247185.0
2021-05-08 13:55:00,247187.0
2021-05-08 14:05:00,247163.0
2021-05-08 14:15:00,247165.0
2021-05-08 14:25:00,247266.0
2021-05-08 14:35:00,247250.0
2021-05-08 14:45:00,247358.0
2021-05-08 14:55:00,247313.0
2021-05-08 15:05:00,247404.0
2021-05-08 15:15:00,247346.0
2021-05-08 15:25:00,247456.0
2021-05-08 15:35:00,247422.0
2021-05-08 15:45:00,247459.0
2021-05-08 15:55:00,247455.0
2021-05-08 16:05:00,247442.0
2021-05-08 16:15:00,247463.0
2021-05-08 16:25:00,249318.0
2021-05-08 16:35:00,248016.0
2021-05-08 16:45:00,247765.0
2021-05-08 16:55:00,247509.0
2021-05-08 17:05:00,247507.0
2021-05-08 17:15:00,247502.0
2021-05-08 17:25:00,247503.0
2021-05-08 17:35:00,247443.0
2021-05-08 17:45:00,247509.0
2021-05-08 17:55:00,247479.0
2021-05-08 18:05:00,247360.0
2021-05-08 18:15:00,247470.0
2021-05-08 18:25:00,247484.0
2021-05-08 18:35:00,247430.0
2021-05-08 18:45:00,247500.0
2021-05-08 18:55:00,247250.0
2021-05-08 19:05:00,247263.0
2021-05-08 19:15:00,247288.0
2021-05-08 19:25:00,247297.0
2021-05-08 19:35:00,247285.0
2021-05-08 19:45:00,247319.0
2021-05-08 19:55:00,247585.0
2021-05-08 20:05:00,247724.0
2021-05-08 20:15:00,247666.0
2021-05-08 20:25:00,247685.0
2021-05-08 20:35:00,247681.0
2021-05-08 20:45:00,247685.0
2021-05-08 20:55:00,247680.0
2021-05-08 21:05:00,247652.0
2021-05-08 21:15:00,247643.0
2021-05-08 21:25:00,247705.0
2021-05-08 21:35:00,247659.0
2021-05-08 21:45:00,247671.0
2021-05-08 21:55:00,247650.0
2021-05-08 22:05:00,247652.0
2021-05-08 22:15:00,247632.0
2021-05-08 22:25:00,247641.0
2021-05-08 22:35:00,247669.0
2021-05-08 22:45:00,247676.0
2021-05-08 22:55:00,247619.0
2021-05-08 23:05:00,247644.0
2021-05-08 23:15:00,247649.0
2021-05-08 23:25:00,247634.0
2021-05-08 23:35:00,247617.0
2021-05-08 23:45:00,247584.0
2021-05-08 23:55:00,247625.0
2021-05-09 00:05:00,247625.0
2021-05-09 00:15:00,247587.0
2021-05-09 00:25:00,247581.0
2021-05-09 00:35:00,247585.0
2021-05-09 00:45:00,247600.0
2021-05-09 00:55:00,247536.0
2021-05-09 01:05:00,247624.0
2021-05-09 01:15:00,247585.0
2021-05-09 01:25:00,247592.0
2021-05-09 01:35:00,247574.0
2021-05-09 01:45:00,247605.0
2021-05-09 01:55:00,247588.0
2021-05-09 02:05:00,247609.0
2021-05-09 02:15:00,247613.0
2021-05-09 02:25:00,247547.0
2021-05-09 02:35:00,247618.0
2021-05-09 02:45:00,247624.0
2021-05-09 02:55:00,247610.0
2021-05-09 03:05:00,247738.0
2021-05-09 03:15:00,247752.0
2021-05-09 03:25:00,247734.0
2021-05-09 03:35:00,247729.0
2021-05-09 03:45:00,247738.0
2021-05-09 03:55:00,247729.0
2021-05-09 04:05:00,247701.0
2021-05-09 04:15:00,247710.0
2021-05-09 04:25:00,247705.0
2021-05-09 04:35:00,247730.0
2021-05-09 04:45:00,247730.0
2021-05-09 04:55:00,247712.0
2021-05-09 05:05:00,247722.0
2021-05-09 05:15:00,247693.0
2021-05-09 05:25:00,247718.0
2021-05-09 05:35:00,247705.0
2021-05-09 05:45:00,247739.0
2021-05-09 05:55:00,247729.0
2021-05-09 06:05:00,247737.0
2021-05-09 06:15:00,247639.0
2021-05-09 06:25:00,247687.0
2021-05-09 06:35:00,247726.0
2021-05-09 06:45:00,247706.0
2021-05-09 06:55:00,247720.0
2021-05-09 07:05:00,247702.0
2021-05-09 07:15:00,247708.0
2021-05-09 07:25:00,246510.0
2021-05-09 07:35:00,246506.0
2021-05-09 07:45:00,246518.0
2021-05-09 07:55:00,246517.0
2021-05-09 08:05:00,247194.0
2021-05-09 08:15:00,247200.0
2021-05-09 08:25:00,246525.0
2021-05-09 08:35:00,246518.0
2021-05-09 08:45:00,246536.0
2021-05-09 08:55:00,246502.0
2021-05-09 09:05:00,246540.0
2021-05-09 09:15:00,246513.0
2021-05-09 09:25:00,246769.0
2021-05-09 09:35:00,246997.0
2021-05-09 09:45:00,247093.0
2021-05-09 09:55:00,247050.0
2021-05-09 10:05:00,247082.0
2021-05-09 10:15:00,247075.0
2021-05-09 10:25:00,246539.0
2021-05-09 10:35:00,246511.0
2021-05-09 10:45:00,246523.0
2021-05-09 10:55:00,246536.0
2021-05-09 11:05:00,246518.0
2021-05-09 11:15:00,246531.0
2021-05-09 11:25:00,246574.0
2021-05-09 11:35:00,246518.0
2021-05-09 11:45:00,246560.0
2021-05-09 11:55:00,246500.0
2021-05-09 12:05:00,246525.0
2021-05-09 12:15:00,246508.0
2021-05-09 12:25:00,246850.0
2021-05-09 12:35:00,247217.0
2021-05-09 12:45:00,247264.0
2021-05-09 12:55:00,247204.0
2021-05-09 13:05:00,247242.0
2021-05-09 13:15:00,247203.0
2021-05-09 13:25:00,247210.0
2021-05-09 13:35:00,247294.0
2021-05-09 13:45:00,247245.0
2021-05-09 13:55:00,247246.0
