site_id	timeline_text
01687f6d-a6a6-4819-962f-df985a6e63b4	77 10 77 10 12 13 75 75 18 13 75 75 74 77 77 75 77 77 75 75 75 75 75 75
3a6ea19c-6328-42ce-ad68-7928ada0c450	1 75 74 75 74 74 75 74 75 74 74 74 75 74 74 74 74 75 77 77 77 77 74 77
60e57705-1676-49e0-89c3-90477b8bdf01	77 77 75 75 75 75 75 75 75 75 75 77 77 77 77 77 77 77 75 75 77 75 75 25 75 75 75 75 75
9190803d-8883-487f-8fef-c9db53c9ac10	75 75 69 73 75 75 69 73 75 75 77 75 75 75 69 73 77 77 77 75 77 77 77 77 77 77 77 77 77 77 77 77 77 75 77 77 77 77 77 77 77 77 75 77 77 77 75 77 77 77 75 75 75 77 75 75
9d0f02bf-cafc-4c54-97ae-b876dfae13b6	77 75 75 75 75 75 75 75 75 75 75 77 75 74 75 75 75 75 75 75 65 75
433e69a9-c26a-4b8f-9b77-47349cedaabe	77 77 75 75 28 75 75 75 75 75 75 70 75 75 77 77 77 77 77 77 77 77 77 75 75 28 75
4a560655-3f21-41ba-97d2-4b01524111e9	42 77 35 35 35 35 35 35 35 35 35 35 35 35 75 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 35 35 75 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 75 35 35 35 35 35 35 35 35 35 35 35 35 75 75 35 43 43 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 75 74 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 43 35 43 75 35 35 35 35 35 35 35 35 35 35 35 74 35 75 35 35 35 35 35 35 35 35 35 35 35 43 43 35 35 35 35 75 35 35 35 35 35 35 35 35 75 75 74 35 35 35 35 35 35 35 43 43 75 75 35 35 35 35 35 35 35 35 43 43 35 35 35 35 35 35 75 35 35 75 35 35 27 35 35 35 35 35 35 35 75 35 35 35 35 35 35 35 35 35 35 35 35 75 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 77 73 35 35 77 35 35 35 35 35 35 74 75 27 27 75 35 35 35 35 43 43 35 35 35 75 43 35 43 35 42 75 35 35 35 35 27 35 35 35 35 35 43 43 35 35 35 35 35 35 26 27 27 75 35 35 35 35 35 35 43 43 35 35 75 35 27 35 35 35 35 35 35 35 77 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 43 75 35 28 35 35 35 35 35 35 35 35 35 35 35 35 35 35 27 35 35 35 35 35 35 35 35 35 35 28 35 35 35 74 35 35 75 35 35 35 35 35 35 35 35 35
95a6535a-86a2-4d87-baa2-a697f0cf4169	75 75 74 75 75 75 75 74 75 74 75 75 74 75 75 75 75 77 74 75 75 75 74 75
a6232581-6336-4918-9e56-2284c0fb60e0	77 75 75 75 75 75 75 77 75 75 75 75 75 75 77 75 75 75 75 75 77 77 77 77 77 77 75 75 77 77 77 77 77 75 75 77 75 75 75 75 75 75 75 75 75 75 75 75 75
935178cf-b8ee-4b7d-9fc3-025e8064b6cd	75 75 75 75 75 75 75 77 75 75 77 75 75 75 75 75 75 75 75
a3bade54-a62a-4fac-8e9d-be1afb1ed4a2	77 75 75 75 75 77 75 77 75 75 75 77 75 75 42 75 75 75 75 75 75 75 75 75 42 42 75 75
ccd806fb-6727-4859-9d54-f0a5495ac781	75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 77 77 75 75 75 75 75 75 75
44826e97-45b9-4dca-90b8-afc8cc6f4869	75 75 75 75 75 75 75 77 75 75 77 77 77 77 75 75 77 74 75 75 75
4a516c75-80ab-436e-9e56-a8cc74c82264	9 42 75 75 75 42 75 75 77 75 75 75 75 42 70 75 75 75 75 42 42 42 42 75 75 77 75 9 9 9 9 9 9 9 9 9 9 9 9 9 9 75 42 75 75 75
694ebdd5-fa8e-4305-b5c6-aea02343c410	7 77 75 75 75
d4facba3-d159-4d7d-915a-4202c355d864	75 75 75 77 12 75 74 75 75 75 74 75 75 75 75 75
2d118867-8998-44d2-bfc3-f7c0dc84e8a3	30 75 77 31 30 77 28 77 28 75 30 75 30 30 75 74 75
9668e844-9362-4333-8438-61c8ce2625d7	77 75 75 75 75 75 75 77 77 77 75 74 75 75 75 74 75 77 75 74 75 75 75 77 75 74 75
